"","x"
"157","https://fbref.com/en/matches/d0a23a9f/Talleres-Argentinos-Jun-August-6-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"158","https://fbref.com/en/matches/f9e46d8d/CA-Union-Velez-Sarsf-August-6-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"159","https://fbref.com/en/matches/48dd1286/Banfield-Patronato-August-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"160","https://fbref.com/en/matches/a4f8c293/Sarmiento-Lanus-August-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"161","https://fbref.com/en/matches/3a9028e9/Aldosivi-CA-Huracan-August-7-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"162","https://fbref.com/en/matches/2bccebb8/San-Lorenzo-Estudiantes-August-7-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"163","https://fbref.com/en/matches/cbb3952d/Independiente-River-Plate-August-7-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"164","https://fbref.com/en/matches/71c813a6/Newells-OB-Colon-August-7-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"165","https://fbref.com/en/matches/876d7f64/Boca-Juniors-Platense-August-6-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"166","https://fbref.com/en/matches/e1ae6af1/CC-Cordoba-Defensa-y-Just-August-8-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"167","https://fbref.com/en/matches/f3f6556f/Tigre-Rosario-Cent-August-8-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"168","https://fbref.com/en/matches/945ccadc/Godoy-Cruz-Aldosivi-August-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"169","https://fbref.com/en/matches/3e8650af/Platense-Banfield-August-12-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"170","https://fbref.com/en/matches/8c6d09f4/CA-Huracan-Sarmiento-August-12-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"171","https://fbref.com/en/matches/20f20e80/Colon-Arsenal-August-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
